
="",="(1)",="(2)",="(3)",="(4)"
="",="roce",="pctcomp",="roce",="pctcomp"

="ln_sales",="0.015***",="-0.025***",="0.005***",="0.010**"
="",="(28.40)",="(-11.50)",="(4.20)",="(2.05)"

="ci",="0.003",="0.087***",="-0.108***",="0.465***"
="",="(0.58)",="(4.56)",="(-9.11)",="(9.43)"

="firmage",="0.000***",="-0.003***",="0.000***",="-0.003***"
="",="(6.78)",="(-8.86)",="(6.99)",="(-9.03)"

="lev",="-0.066***",="-0.279***",="-0.073***",="-0.256***"
="",="(-12.04)",="(-12.27)",="(-13.20)",="(-11.23)"

="salesgr_1y",="0.075***",="0.021*",="0.075***",="0.022**"
="",="(28.57)",="(1.92)",="(28.55)",="(2.02)"

="1998.fyear",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="1999.fyear",="-0.003",="0.014",="-0.003",="0.016"
="",="(-0.74)",="(0.97)",="(-0.86)",="(1.07)"

="2000.fyear",="-0.015***",="-0.021",="-0.015***",="-0.020"
="",="(-4.23)",="(-1.45)",="(-4.38)",="(-1.35)"

="2001.fyear",="-0.022***",="-0.160***",="-0.022***",="-0.158***"
="",="(-6.10)",="(-10.93)",="(-6.24)",="(-10.86)"

="2002.fyear",="-0.017***",="-0.336***",="-0.017***",="-0.335***"
="",="(-4.67)",="(-22.65)",="(-4.77)",="(-22.64)"

="2003.fyear",="-0.019***",="-0.414***",="-0.020***",="-0.413***"
="",="(-5.39)",="(-27.76)",="(-5.49)",="(-27.76)"

="2004.fyear",="-0.011***",="-0.451***",="-0.012***",="-0.450***"
="",="(-3.11)",="(-29.91)",="(-3.24)",="(-29.88)"

="2005.fyear",="-0.009**",="-0.461***",="-0.009***",="-0.459***"
="",="(-2.49)",="(-30.66)",="(-2.60)",="(-30.65)"

="2006.fyear",="-0.011***",="-0.511***",="-0.011***",="-0.509***"
="",="(-2.88)",="(-33.24)",="(-3.02)",="(-33.21)"

="2007.fyear",="-0.010***",="-0.516***",="-0.011***",="-0.514***"
="",="(-2.64)",="(-32.51)",="(-2.78)",="(-32.49)"

="2008.fyear",="-0.024***",="-0.525***",="-0.024***",="-0.524***"
="",="(-6.23)",="(-32.83)",="(-6.31)",="(-32.87)"

="2009.fyear",="-0.023***",="-0.554***",="-0.024***",="-0.553***"
="",="(-5.63)",="(-32.13)",="(-5.76)",="(-32.12)"

="1.industry",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="2.industry",="-0.002",="0.003",="-0.003",="0.006"
="",="(-0.55)",="(0.14)",="(-0.76)",="(0.31)"

="3.industry",="-0.008***",="0.018",="-0.008**",="0.017"
="",="(-2.62)",="(1.34)",="(-2.56)",="(1.29)"

="4.industry",="-0.013***",="-0.068***",="-0.012***",="-0.074***"
="",="(-3.27)",="(-4.05)",="(-2.89)",="(-4.38)"

="5.industry",="-0.003",="-0.014",="0.000",="-0.023"
="",="(-0.60)",="(-0.75)",="(0.01)",="(-1.25)"

="6.industry",="-0.039***",="0.146***",="-0.035***",="0.132***"
="",="(-11.66)",="(10.45)",="(-10.46)",="(9.44)"

="8.industry",="-0.036***",="0.022",="-0.030***",="-0.001"
="",="(-8.17)",="(1.17)",="(-6.62)",="(-0.06)"

="10.industry",="-0.005",="0.092***",="-0.004",="0.089***"
="",="(-1.42)",="(6.26)",="(-1.14)",="(6.04)"

="12.industry",="-0.019***",="-0.042**",="-0.018***",="-0.045**"
="",="(-3.79)",="(-2.05)",="(-3.62)",="(-2.21)"

="ci_ln_sales",="",="",="0.018***",="-0.060***"
="",="",="",="(10.12)",="(-8.31)"

="_cons",="-0.013**",="0.968***",="0.052***",="0.746***"
="",="(-2.51)",="(43.75)",="(6.20)",="(21.49)"

="N",="13343",="13343",="13343",="13343"
="R-sq",="0.173",="0.350",="0.179",="0.353"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
